pyr_scale,levels,winsize,iterations,poly_n,poly_sigma,avg_EPE
0.7,2,21,3,7,1.9,7.398514791
0.5,3,9,5,7,1.9,7.395068131
0.5,4,9,5,7,1.9,7.395068131
0.5,2,9,5,7,1.9,7.395025532
0.3,2,15,1,5,1.9,7.394312729
0.3,3,15,1,5,1.9,7.394312729
0.3,4,15,1,5,1.9,7.394312729
0.7,3,9,3,7,1.9,7.393732264
0.7,3,21,1,7,1.9,7.392502759
0.3,1,21,1,7,1.5,7.392191102
0.3,2,21,1,5,1.5,7.391255564
0.3,3,21,1,5,1.5,7.391255564
0.3,4,21,1,5,1.5,7.391255564
0.5,3,9,3,7,1.9,7.387790347
0.5,4,9,3,7,1.9,7.387790347
0.5,2,9,3,7,1.9,7.387261021
0.3,1,15,1,5,1.9,7.38645173
0.5,3,21,1,5,1.9,7.385792402
0.5,4,21,1,5,1.9,7.385792402
0.5,1,15,3,7,1.9,7.38479365
0.5,1,9,5,5,1.9,7.384791152
0.5,2,21,1,5,1.9,7.384613319
0.3,2,9,5,7,1.9,7.383717561
0.3,3,9,5,7,1.9,7.383717561
0.3,4,9,5,7,1.9,7.383717561
0.3,2,9,1,5,1.9,7.383266276
0.3,3,9,1,5,1.9,7.383266276
0.3,4,9,1,5,1.9,7.383266276
0.3,1,21,1,5,1.5,7.383115811
0.3,1,21,5,7,1.9,7.382754426
0.3,2,21,5,7,1.9,7.382753075
0.3,3,21,5,7,1.9,7.382753075
0.3,4,21,5,7,1.9,7.382753075
0.3,1,9,5,7,1.9,7.382338061
0.5,1,21,3,7,1.9,7.380362164
0.7,4,9,1,7,1.9,7.378736915
0.7,2,9,3,5,1.9,7.377573355
0.3,2,15,1,7,1.9,7.377018189
0.3,3,15,1,7,1.9,7.377018189
0.3,4,15,1,7,1.9,7.377018189
0.3,2,9,3,7,1.9,7.376800717
0.3,3,9,3,7,1.9,7.376800717
0.3,4,9,3,7,1.9,7.376800717
0.3,1,9,3,7,1.9,7.374464022
0.3,1,15,1,7,1.9,7.370383338
0.3,1,9,1,5,1.9,7.367782046
0.3,1,21,3,7,1.9,7.366719366
0.3,2,21,3,7,1.9,7.366703404
0.3,3,21,3,7,1.9,7.366703404
0.3,4,21,3,7,1.9,7.366703404
0.5,3,21,1,7,1.9,7.365575057
0.5,4,21,1,7,1.9,7.365575057
0.5,2,21,1,7,1.9,7.364998675
0.5,3,9,1,7,1.9,7.363221984
0.5,4,9,1,7,1.9,7.363221984
0.5,2,9,1,7,1.9,7.359901101
0.7,3,9,1,7,1.9,7.356102393
0.5,1,9,3,5,1.9,7.352508644
0.7,2,9,5,7,1.9,7.352425008
0.3,2,9,1,7,1.9,7.343528413
0.3,3,9,1,7,1.9,7.343528413
0.3,4,9,1,7,1.9,7.343528413
0.7,2,21,3,7,1.1,7.342637001
0.7,2,21,3,5,1.1,7.342607441
0.5,1,9,5,7,1.9,7.33110061
0.7,2,15,1,5,1.9,7.330545394
0.3,1,9,1,7,1.9,7.328505775
0.7,2,9,3,7,1.9,7.326853081
0.7,2,15,3,7,1.1,7.323132721
0.7,2,15,3,5,1.1,7.323107506
0.7,2,21,1,5,1.9,7.318291509
0.7,1,21,5,5,1.9,7.313269797
0.7,2,9,5,7,1.1,7.312437292
0.7,2,9,5,5,1.1,7.312420518
0.7,2,15,1,7,1.5,7.309106294
